Kabupaten,Produksi Padi (ton GKG)_2025,Produksi Padi (ton GKG)_2024,Produksi Padi (ton GKG)_2023,Produksi Padi (ton GKG)_2022,Luas Panen (Ha)_2025,Luas Panen (Ha)_2024,Luas Panen (Ha)_2023,Luas Panen (Ha)_2022,Produktivitas Padi (Ku/ha)_2025,Produktivitas Padi (Ku/ha)_2024,Produktivitas Padi (Ku/ha)_2023,Produktivitas Padi (Ku/ha)_2022,Persentase Penduduk Miskin (Persen)_2025,Persentase Penduduk Miskin (Persen)_2024,Persentase Penduduk Miskin (Persen)_2023,Persentase Penduduk Miskin (Persen)_2022,Total Rata-rata Upah/Gaji Bersih (Rupiah)_2025,Total Rata-rata Upah/Gaji Bersih (Rupiah)_2024,Total Rata-rata Upah/Gaji Bersih (Rupiah)_2023,Total Rata-rata Upah/Gaji Bersih (Rupiah)_2022,PRDB per Kapita AHB (Ribu Rupiah)_2025,PRDB per Kapita AHB (Ribu Rupiah)_2024,PRDB per Kapita AHB (Ribu Rupiah)_2023,PRDB per Kapita AHB (Ribu Rupiah)_2022,Jumlah Balita Stunting (Jiwa)_2025,Jumlah Balita Stunting (Jiwa)_2024,Jumlah Balita Stunting (Jiwa)_2023,Jumlah Balita Stunting (Jiwa)_2022,Akses Air Minum Layak (Persen)_2025,Akses Air Minum Layak (Persen)_2024,Akses Air Minum Layak (Persen)_2023,Akses Air Minum Layak (Persen)_2022,Akses Sanitasi Layak (Persen)_2025,Akses Sanitasi Layak (Persen)_2024,Akses Sanitasi Layak (Persen)_2023,Akses Sanitasi Layak (Persen)_2022,Pengeluaran per Kapita Makanan (Persen)_2025,Pengeluaran per Kapita Makanan (Persen)_2024,Pengeluaran per Kapita Makanan (Persen)_2023,Pengeluaran per Kapita Makanan (Persen)_2022,klaster_2025,klaster_2022,klaster_2023,klaster_2024,label_klaster,risiko_2022,risiko_2023,risiko_2024,risiko_2025,ew_2022_2023,ew_2023_2024,ew_2024_2025,early_warning,early_warning_terbaru
Sumba Barat,0.3746963103734977,0.3227517754770257,0.367096578867696,0.3854431844480444,0.3602815205815622,0.402268482156411,0.4498152865581756,0.5409598438618684,0.5802644003777149,0.5310773480662982,0.4313602015113347,0.2046561992420141,0.8321167883211678,0.7455830388692578,0.7362700228832952,0.7147707979626486,0.8277250143381192,0.8965359196889278,1.0000000000000002,1.0,0.3144555147701451,0.3196164348764844,0.3130051915620687,0.3106525376464026,0.0910042753686414,0.1298671018885521,0.0805383696949962,0.1777292178821815,0.6666666666666665,0.6574198761109613,0.7367650646499144,0.6325813067682389,0.1271608555523,0.2285318559556788,0.271078180889116,0.1630611770179113,0.2615596963423052,0.2640586797066016,0.1950738916256158,0.3463268365817091,3,3,2,2,Rawan,0.46800325924290775,0.5196938971173207,0.5405038253554096,0.5746038055430126,True,True,True,True,True
Sumba Timur,0.9601667188562912,0.6938763868686005,0.7513775355737209,0.6696366581809766,1.0,0.8747358277616807,0.8418900950929132,0.8839639604626577,0.4305949008498586,0.5224447513812154,0.6505037783375316,0.3183540877097999,0.7816301703163018,0.7762073027090693,0.7883295194508007,0.7572156196943974,1.0,0.9227848662714196,0.7778137167977806,0.6781897388663465,1.0,1.0,1.0,1.0,0.2179565482942151,0.3138260666822102,0.2309779659177249,0.2812528453063825,0.5686468646864684,0.3695125235658496,0.3349597462795803,0.4371520656314089,0.3404629358335771,0.3703601108033241,0.34721512519162,0.3240288439171901,0.4444444444444446,0.473105134474328,0.0,0.3560719640179908,2,3,1,4,Berkembang 2,0.46800325924290775,0.4519777731744592,0.4771866206069653,0.4182827294057572,False,True,False,False,False
Kupang,1.0,0.8883089472633411,1.0,0.784977757206408,0.8006667592721212,0.8086607573047502,1.0,0.937213184538973,1.0000000000000002,1.0,0.952770780856423,0.5219274499187871,0.4580291970802919,0.4422850412249707,0.4279176201372998,0.388228636106395,0.5623907978224421,0.6208924109584992,0.231688873455675,0.5514784297129769,0.7733496474975237,0.7704324633263478,0.7176184530459354,0.6932515337423313,0.2594014483901928,0.3764280718116111,0.3606859871920113,0.4970408813621051,0.8396039603960395,0.8233234581201183,0.7545742864113199,0.6768239085848227,0.5461470846762382,0.5770083102493078,0.7204905467552376,0.751802744824378,0.5300207039337477,0.1075794621026888,0.0650246305418713,0.0,2,3,1,4,Berkembang 2,0.46800325924290775,0.4519777731744592,0.4771866206069653,0.4182827294057572,False,True,False,False,False
Timor Tengah Selatan,0.2929457623824383,0.2050854225492712,0.1809869815319406,0.1981922908791689,0.2819836088345603,0.2081281227105623,0.1968361650968798,0.2003628972756592,0.5741265344664781,0.7924723756906078,0.6857682619647354,0.9068760151597186,0.7122871046228709,0.6372202591283863,0.6224256292906178,0.6004527447651388,0.2381600680381113,0.1565371024734982,0.628475337508527,0.5861302929974359,0.4214880848336537,0.4351305010478187,0.4256423736610369,0.4215699944227551,1.0,1.0,0.909041571692174,1.0,0.2148514851485146,0.4279558308645301,0.4093681385703829,0.3179021388807501,0.3706416642250218,0.5044321329639889,0.5035769034236077,0.3417073738078624,0.3588681849551411,0.4889975550122249,0.5596059113300491,0.6926536731634183,3,4,2,2,Rawan,0.5771232548980749,0.5196938971173207,0.5405038253554096,0.5746038055430126,False,True,True,False,True
Belu,0.2177711071039077,0.157696585950201,0.1523826824099304,0.2962020108513975,0.2053988979950919,0.2310413105319085,0.2098018429332855,0.3225632109850512,0.6076487252124647,0.0,0.1782115869017635,0.7282079047103414,0.0,0.0,0.0,0.0,0.3605779537395523,0.6294262016351997,0.2867830973402971,0.8654681237708797,0.6722018295169843,0.6860354353210135,0.6713544062561608,0.659648633575014,0.2896780385655702,0.1956166938680344,0.1557581678063605,0.1651643448966584,0.7326732673267324,0.7209803393482359,0.7636008782629906,0.9542924113682978,0.8324055083504247,0.9216066481994464,0.9128768523249872,0.886950453593859,0.2394755003450654,0.2762836185819068,0.3339901477832514,0.5764617691154426,1,1,3,1,Sejahtera,0.18194774931531008,0.18438969403496847,0.1920778384785249,0.21598495007187177,True,True,True,True,True
Alor,0.0310006370733498,0.0342688457260203,0.0136239782016348,0.0431355910411684,0.0395888317821919,0.0514794305363967,0.0183911407384936,0.0693858862351047,0.1657223796033997,0.3111187845303866,0.1265743073047858,0.0,0.3345498783454987,0.3539458186101295,0.3243707093821508,0.3061686474250141,0.0352627461318437,0.0336014311693304,0.1080388634965514,0.3993716860421696,0.2066655013692244,0.2131199593573379,0.1905763291056056,0.1837702175125488,0.1849751330599424,0.185008160410352,0.1328557473135786,0.1329327141946645,0.8765676567656762,0.7457581470509023,0.7914125396438152,0.8948139466744798,0.8763551128039848,0.9229916897506928,0.8520694941236586,0.8318213538032102,0.7639751552795033,0.2787286063569674,0.323152709359606,0.7076461769115445,1,1,3,1,Sejahtera,0.18194774931531008,0.18438969403496847,0.1920778384785249,0.21598495007187177,True,True,True,True,True
Lembata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3375826251180358,0.2727900552486186,0.0,0.7704385489983758,0.6374695863746958,0.6101295641931684,0.5995423340961099,0.5851726089417092,0.8963396189109707,1.0,0.4049547080214133,0.7109566602773145,0.1005069043873448,0.1021146885120974,0.1125057501478609,0.1187255995538205,0.0,0.0,0.0538369694996201,0.0672858053355185,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0,0.9904628983484532,0.4458247066942715,0.1161369193154033,0.2177339901477832,0.140929535232384,1,1,3,1,Sejahtera,0.18194774931531008,0.18438969403496847,0.1920778384785249,0.21598495007187177,True,True,True,True,True
Rote Ndao,0.6388118042133223,0.3730783491628875,0.3625068119891008,0.3681503767132094,0.6375885539658287,0.4398043706397555,0.4084979640874076,0.4794683093395647,0.5113314447592072,0.6025552486187846,0.6246851385390426,0.345425013535463,0.7043795620437956,0.702002355712603,0.7294050343249427,0.713638936049802,0.4612692574418471,0.5556470570841405,0.7351578212610541,0.8839809813049215,0.7385655188486862,0.713532736394234,0.7410790563185911,0.7574595649749025,0.088299450309746,0.1965493121939845,0.2404211440356018,0.2141491395793499,0.7260726072607264,0.6164826286022083,0.6735789216882164,0.649282156460592,0.8704951655435098,0.904432132963989,0.9376596831885542,0.9999999999999998,0.0,0.0,0.1123152709359605,0.1926536731634183,2,3,2,2,Berkembang 2,0.46800325924290775,0.5196938971173207,0.5405038253554096,0.4182827294057572,True,True,False,True,False
Sumba Tengah,0.315556467374286,0.3004763127121303,0.2743082046624281,0.3083905474555787,0.2984210770014354,0.3203311970747998,0.3620672628637867,0.3808557112901982,0.6100094428706326,0.7344613259668509,0.2682619647355164,0.4526258798050893,1.0,1.0,1.0,1.0,0.3788967058014112,0.3900099058207784,0.4159044558705067,0.5912872470189938,0.1425158771776495,0.1377405220041913,0.1207859630676216,0.1330870050195203,0.0153564261408254,0.042317556539986,0.0,0.0,0.0,0.0,0.0,0.0357456782888954,0.1122179900380897,0.0,0.0,0.1967899511514306,0.8157349896480328,0.7799511002444985,0.4029556650246313,0.5854572713643185,3,4,2,2,Rawan,0.5771232548980749,0.5196938971173207,0.5405038253554096,0.5746038055430126,False,True,True,False,True
Sumba Barat Daya,0.4529699495740246,0.5602521319985169,0.5916802906448684,0.6330067628378204,0.6114738158077512,0.8578479450336939,0.7650551957918835,0.8068701506667388,0.0,0.302831491712707,0.3180100755667505,0.3871142393069842,0.7828467153284671,0.7856301531213191,0.7540045766590389,0.697226938313526,0.0,0.0895101793397104,0.0,0.4610649473500783,0.0309386470896696,0.0332126754302406,0.0306236446080041,0.0315811489124372,0.4643573859174592,0.7061086500349731,1.0,0.6929800600928708,0.839273927392739,0.714516563425801,0.6584532812881192,0.5991796073835332,0.0,0.002493074792244,0.0408788962698007,0.0,0.9723947550034504,1.0,1.0,0.8905547226386812,4,2,4,3,Berkembang 1,0.5360616353070429,0.6370564514226117,0.5739202320231364,0.49510424488336724,True,False,False,False,False
