Kabupaten,Produksi Padi (ton GKG)_2025,Produksi Padi (ton GKG)_2024,Produksi Padi (ton GKG)_2023,Produksi Padi (ton GKG)_2022,Luas Panen (Ha)_2025,Luas Panen (Ha)_2024,Luas Panen (Ha)_2023,Luas Panen (Ha)_2022,Produktivitas Padi (Ku/ha)_2025,Produktivitas Padi (Ku/ha)_2024,Produktivitas Padi (Ku/ha)_2023,Produktivitas Padi (Ku/ha)_2022,Persentase Penduduk Miskin (Persen)_2025,Persentase Penduduk Miskin (Persen)_2024,Persentase Penduduk Miskin (Persen)_2023,Persentase Penduduk Miskin (Persen)_2022,Total Rata-rata Upah/Gaji Bersih (Rupiah)_2025,Total Rata-rata Upah/Gaji Bersih (Rupiah)_2024,Total Rata-rata Upah/Gaji Bersih (Rupiah)_2023,Total Rata-rata Upah/Gaji Bersih (Rupiah)_2022,PRDB per Kapita AHB (Ribu Rupiah)_2025,PRDB per Kapita AHB (Ribu Rupiah)_2024,PRDB per Kapita AHB (Ribu Rupiah)_2023,PRDB per Kapita AHB (Ribu Rupiah)_2022,Jumlah Balita Stunting (Jiwa)_2025,Jumlah Balita Stunting (Jiwa)_2024,Jumlah Balita Stunting (Jiwa)_2023,Jumlah Balita Stunting (Jiwa)_2022,Akses Air Minum Layak (Persen)_2025,Akses Air Minum Layak (Persen)_2024,Akses Air Minum Layak (Persen)_2023,Akses Air Minum Layak (Persen)_2022,Akses Sanitasi Layak (Persen)_2025,Akses Sanitasi Layak (Persen)_2024,Akses Sanitasi Layak (Persen)_2023,Akses Sanitasi Layak (Persen)_2022,Pengeluaran per Kapita Makanan (Persen)_2025,Pengeluaran per Kapita Makanan (Persen)_2024,Pengeluaran per Kapita Makanan (Persen)_2023,Pengeluaran per Kapita Makanan (Persen)_2022
Sumba Barat,0.3746963103734977,0.32275177547702577,0.36709657886769603,0.38544318444804443,0.36028152058156226,0.40226848215641103,0.44981528655817565,0.5409598438618684,0.5802644003777149,0.5310773480662982,0.4313602015113347,0.20465619924201417,0.8321167883211678,0.7455830388692578,0.7362700228832952,0.7147707979626486,0.8277250143381192,0.8965359196889278,1.0000000000000002,1.0,0.3144555147701451,0.3196164348764844,0.31300519156206874,0.31065253764640266,0.09100427536864147,0.1298671018885521,0.0805383696949962,0.17772921788218154,0.6666666666666665,0.6574198761109613,0.7367650646499144,0.6325813067682389,0.12716085555230006,0.22853185595567882,0.27107818088911606,0.16306117701791134,0.26155969634230525,0.2640586797066016,0.19507389162561584,0.34632683658170915
Sumba Timur,0.9601667188562912,0.6938763868686005,0.7513775355737209,0.6696366581809766,1.0,0.8747358277616807,0.8418900950929132,0.8839639604626577,0.43059490084985863,0.5224447513812154,0.6505037783375316,0.3183540877097999,0.7816301703163018,0.7762073027090693,0.7883295194508007,0.7572156196943974,1.0,0.9227848662714195,0.7778137167977806,0.6781897388663465,1.0,1.0,0.9999999999999999,1.0,0.21795654829421518,0.31382606668221025,0.23097796591772496,0.28125284530638256,0.5686468646864684,0.3695125235658496,0.33495974627958036,0.43715206563140896,0.3404629358335771,0.3703601108033241,0.34721512519162,0.3240288439171901,0.44444444444444464,0.473105134474328,0.0,0.3560719640179908
Kupang,1.0,0.8883089472633411,1.0,0.784977757206408,0.8006667592721212,0.8086607573047502,0.9999999999999999,0.937213184538973,1.0000000000000002,1.0,0.952770780856423,0.5219274499187871,0.4580291970802919,0.4422850412249707,0.42791762013729984,0.388228636106395,0.5623907978224421,0.6208924109584992,0.23168887345567502,0.5514784297129769,0.7733496474975237,0.7704324633263478,0.7176184530459354,0.6932515337423313,0.25940144839019286,0.3764280718116111,0.3606859871920113,0.4970408813621051,0.8396039603960395,0.8233234581201183,0.7545742864113199,0.6768239085848227,0.5461470846762382,0.5770083102493078,0.7204905467552376,0.751802744824378,0.5300207039337477,0.10757946210268887,0.06502463054187135,0.0
Timor Tengah Selatan,0.29294576238243836,0.20508542254927126,0.18098698153194068,0.1981922908791689,0.28198360883456036,0.2081281227105623,0.1968361650968798,0.20036289727565926,0.5741265344664781,0.7924723756906078,0.6857682619647354,0.9068760151597186,0.7122871046228709,0.6372202591283863,0.6224256292906178,0.6004527447651388,0.2381600680381113,0.15653710247349828,0.628475337508527,0.5861302929974359,0.42148808483365374,0.4351305010478187,0.42564237366103697,0.4215699944227551,1.0,0.9999999999999999,0.9090415716921741,1.0,0.2148514851485146,0.42795583086453015,0.4093681385703829,0.31790213888075014,0.37064166422502187,0.5044321329639889,0.5035769034236077,0.3417073738078624,0.35886818495514117,0.48899755501222497,0.5596059113300491,0.6926536731634183
Belu,0.21777110710390774,0.15769658595020108,0.1523826824099304,0.2962020108513975,0.2053988979950919,0.23104131053190857,0.2098018429332855,0.3225632109850512,0.6076487252124647,0.0,0.17821158690176353,0.7282079047103414,0.0,0.0,0.0,0.0,0.36057795373955237,0.6294262016351997,0.28678309734029717,0.8654681237708797,0.6722018295169843,0.6860354353210135,0.6713544062561608,0.659648633575014,0.28967803856557023,0.19561669386803449,0.15575816780636056,0.16516434489665846,0.7326732673267324,0.7209803393482359,0.7636008782629906,0.9542924113682978,0.8324055083504247,0.9216066481994463,0.9128768523249873,0.886950453593859,0.23947550034506548,0.27628361858190686,0.3339901477832514,0.5764617691154426
Alor,0.03100063707334982,0.03426884572602037,0.013623978201634879,0.04313559104116845,0.03958883178219197,0.0514794305363967,0.018391140738493673,0.06938588623510474,0.16572237960339975,0.31111878453038666,0.1265743073047858,0.0,0.33454987834549876,0.3539458186101295,0.32437070938215085,0.30616864742501415,0.03526274613184377,0.033601431169330453,0.10803886349655145,0.39937168604216966,0.20666550136922446,0.21311995935733796,0.19057632910560562,0.18377021751254885,0.1849751330599424,0.18500816041035206,0.13285574731357863,0.1329327141946645,0.8765676567656762,0.7457581470509023,0.7914125396438152,0.8948139466744798,0.8763551128039848,0.9229916897506927,0.8520694941236586,0.8318213538032102,0.7639751552795033,0.2787286063569674,0.32315270935960605,0.7076461769115445
Lembata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33758262511803583,0.27279005524861866,0.0,0.7704385489983758,0.6374695863746958,0.6101295641931684,0.5995423340961099,0.5851726089417092,0.8963396189109707,1.0,0.4049547080214133,0.7109566602773145,0.10050690438734489,0.10211468851209748,0.1125057501478609,0.11872559955382056,0.0,0.0,0.0538369694996201,0.06728580533551853,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0,0.9904628983484531,0.44582470669427154,0.11613691931540338,0.21773399014778327,0.14092953523238405
Rote Ndao,0.6388118042133223,0.37307834916288757,0.3625068119891008,0.3681503767132094,0.6375885539658287,0.4398043706397555,0.40849796408740763,0.4794683093395647,0.5113314447592072,0.6025552486187846,0.6246851385390426,0.34542501353546307,0.7043795620437956,0.702002355712603,0.7294050343249427,0.713638936049802,0.4612692574418471,0.5556470570841405,0.7351578212610541,0.8839809813049215,0.7385655188486862,0.713532736394234,0.7410790563185911,0.7574595649749025,0.08829945030974609,0.19654931219398458,0.24042114403560183,0.2141491395793499,0.7260726072607264,0.6164826286022083,0.6735789216882164,0.649282156460592,0.8704951655435098,0.904432132963989,0.9376596831885542,0.9999999999999998,0.0,0.0,0.1123152709359605,0.1926536731634183
Sumba Tengah,0.315556467374286,0.3004763127121303,0.2743082046624281,0.3083905474555787,0.2984210770014354,0.32033119707479984,0.36206726286378677,0.38085571129019824,0.6100094428706326,0.7344613259668509,0.26826196473551644,0.4526258798050893,1.0,0.9999999999999999,1.0,1.0,0.3788967058014112,0.39000990582077844,0.41590445587050673,0.5912872470189938,0.14251587717764957,0.1377405220041913,0.12078596306762168,0.1330870050195203,0.015356426140825413,0.042317556539986007,0.0,0.0,0.0,0.0,0.0,0.03574567828889541,0.11221799003808974,0.0,0.0,0.1967899511514306,0.8157349896480328,0.7799511002444985,0.4029556650246313,0.5854572713643185
Sumba Barat Daya,0.45296994957402464,0.5602521319985169,0.5916802906448684,0.6330067628378204,0.6114738158077512,0.8578479450336939,0.7650551957918835,0.8068701506667388,0.0,0.30283149171270707,0.31801007556675054,0.3871142393069842,0.7828467153284671,0.7856301531213191,0.7540045766590389,0.697226938313526,0.0,0.0895101793397104,0.0,0.4610649473500783,0.030938647089669646,0.033212675430240646,0.030623644608004152,0.03158114891243724,0.4643573859174592,0.7061086500349731,1.0,0.6929800600928708,0.839273927392739,0.714516563425801,0.6584532812881192,0.5991796073835332,0.0,0.002493074792244032,0.04087889626980079,0.0,0.9723947550034504,1.0,1.0,0.8905547226386812
